video_id,titulo,fecha_publicacion,duracion_seg,pct_reproducido,duracion_promedio_vista,vistas,horas_reproduccion,categoria,es_short,ingresos_usd
c5vsKM4mVB0,Cilpen: Cumpliendo con los 17 Objetivos de Desarrollo Sostenible,"Mar 21, 2022",306,42.72,0:02:10,22,0.799,Otros / Institucional,False,0.02
WX-ncvYcePc,El Psiquiatra como Médico de la Conducta: Dr. Enrique Rojas en el Episodio 1 de Mercado Podcast,"Aug 14, 2024",29,118.76,0:00:34,173,0.7939,Mercado Podcast,True,0.006
duEh_BhYkl0,México lidera el medallero y RD alcanza una marca histórica,"Jul 27, 2026",122,46.12,0:00:56,120,0.7914,Deportes,True,0.007
2nj2WP0jl40,Neurocirugía endovascular: Trayectoria y desafíos del Dr. Juan Isidro Ramirez,"Jul 12, 2024",446,36.81,0:02:44,17,0.7753,Otros / Institucional,False,0.004
thJuwFopEc8,La importancia del legado familiar en las empresas - Patricia Janiot,"Sep 28, 2024",2416,22.37,0:09:00,5,0.7507,Otros / Institucional,False,0.06
8oq4zsjixlg,Fuertes confrontaciones al gobierno venezolano por la respuesta ante el desastre,"Jul 3, 2026",159,45.41,0:01:12,52,0.7453,Otros / Institucional,True,0.006
ovzEiew8uhU,¿Por qué gana el populismo? Albert Rivera lo explica desde dentro de la política,"Jan 15, 2026",1338,47.31,0:10:32,4,0.7033,Otros / Institucional,False,
JQc7Pz-AT04,Saymon Díaz: Innovación en el Entretenimiento en RD - Mercado Interview,"May 17, 2024",1669,14.86,0:04:07,10,0.6888,Otros / Institucional,False,0.007
Hlvjq9JCyxk,Por qué la empatía es clave en la relación médico-paciente,"Sep 26, 2023",356,43.22,0:02:33,16,0.6838,Otros / Institucional,False,
aK_HE1vCQqQ,"LA CASSINA y CASA LUCA, un binomio gastronómico que trasciende modas en RD","Aug 15, 2023",139,52.64,0:01:13,33,0.6708,Otros / Institucional,True,
t1cjEnSdWJE,Cuando un milímetro cambia una vida: la precisión detrás de la cirugía robótica Rene Sotelo,"Dec 19, 2025",560,28.71,0:02:40,15,0.6699,Otros / Institucional,False,0.081
dxPmeyn6PnQ,Trump marca línea firme: No habrá arma nuclear ni peajes en Ormuz,"May 22, 2026",85,200.51,0:02:50,37,0.6685,Noticias breves (geopolítica/actualidad),True,0.002
