Contenido,Título del video,Tiempo de publicación del video,Duración,Porcentaje promedio reproducido (%),Duración promedio de vistas,Vistas,Tiempo de reproducción (horas),Ingresos estimados (USD)
TguxgdtZEc0,Giro inesperado! La derecha golpea primero y Petro enciende las alarmas,"Jun 1, 2026",106,84.77,0:01:29,1973,29.9344,
nx2-dGLpQ9E,Descubriendo la tumba perdida de Cleopatra en Egipto - Dra. Kathleen Martínez,"Dec 11, 2024",31,80.84,0:00:25,6065,27.9322,
g1aABtQX0G8,Gabriel Escarrer: Qué opina el CEO mundial de Meliá Hotels,"Mar 16, 2025",1275,29.28,0:06:13,269,27.8943,
LktlNETRdn4,"EE UU  habla de avances, Irán niega una firma inmediata ¿Sigue la Guerra?","May 25, 2026",81,107.87,0:01:27,1856,27.1141,
4-VS4a7CUz0,Imposición arancelaria sacude los mercados: RD queda en la línea de impacto,"Jul 24, 2026",100,92.38,0:01:32,1653,27.1076,
kUTx0hQYoVk,AZUL: Disruptores de los pagos digitales - Mercado Conversations,"Jul 15, 2024",2261,7.61,0:02:52,563,26.9241,
WX-ncvYcePc,El Psiquiatra como Médico de la Conducta: Dr. Enrique Rojas en el Episodio 1 de Mercado Podcast,"Aug 14, 2024",29,161.88,0:00:46,4420,26.5716,
TdBREgFbHBU,¿HANTAVIRUS puede convertirse en pandemia? Esto dice la OMS,"May 7, 2026",100,60.27,0:01:00,2585,26.1221,
wuYK_s440ZI,Stanley Motta Presidente Copa Holdings en entrevista exclusiva para Revista Mercado,"Jul 12, 2018",909,25.69,0:03:53,401,26.0129,
_x0rvvUHzF0,"Messi, el VAR y “el negocio detrás del mundial 2026¿está en duda la potencia Argentina","Jul 9, 2026",113,72.99,0:01:22,1718,24.2774,
oEq1JU5uF7w,Fuego cruzado: Misiles iraníes impactan el aeropuerto de Kuwait en represalia contra Washington,"Jun 3, 2026",88,120.13,0:01:45,1282,24.1906,
cQES6g3UisA,Después de 50 años el hombre vuelve a la luna | 2026,"Mar 31, 2026",67,70.27,0:00:47,3166,24.13,
boTmugXNnOc,Nuevo objetivo en la NASA: la plataforma hacia marte,"Apr 14, 2026",82,69.37,0:00:56,2559,23.6294,
uDqOaRnDb34,Mercado Women's Leadership Summit 2020,"Oct 21, 2020",9501,1.1,0:01:44,810,23.5353,
OFd-SK9f89k,¡Recta final en Colombia! El sorpresivo cambio en las encuestas a días de las elecciones,"May 29, 2026",110,75.56,0:01:23,2178,23.4261,
63qgOqbyzaU,Aislamiento bancario ¿Cómo afecta a la economía cubana la suspensión de las grandes tarjetas?,"Jun 5, 2026",87,78.46,0:01:08,1891,22.3497,
thJuwFopEc8,La importancia del legado familiar en las empresas - Patricia Janiot,"Sep 28, 2024",2416,23.07,0:09:17,144,22.2925,
ZOC96X3iY8c,Construyendo sueños: la visión de Vistasol en República Dominicana,"May 21, 2026",560,30.89,0:02:52,448,21.5269,
ZvBpAfKgJrw,"México, Inglaterra, España y Francia… ¿fuera del Mundial?","Jul 31, 2026",81,88.89,0:01:12,1756,21.3416,
1OHTww1kCNs,30 años de prisión ¿Es suficiente esa condena?,"May 5, 2026",116,73.53,0:01:25,1443,21.3176,
