autor,entidad,tipo,notas,confianza,meses_activos,mes_primero,mes_reciente,demanda_reciente_ratio,es_recurrente
Elba Reyes,Pro,entidad,12,alta,2,2026-07,2026-08,0.0,False
Elba Reyes,juego de estrellas,tema,3,media,2,2026-06,2026-07,1.0,False
Elba Reyes,Juegos Centroamericanos y del Caribe Santo Domingo,entidad,18,alta,2,2026-07,2026-08,1.0,False
Elba Reyes,lista completa,tema,2,baja,2,2026-01,2026-03,0.0,False
Elba Reyes,lujosos del mundo,tema,2,baja,2,2026-01,2026-04,0.16259299756353918,False
Elba Reyes,mejores ciudades,tema,3,media,2,2026-03,2026-07,0.8777059138505918,False
Elba Reyes,mejores playas,tema,2,baja,2,2026-01,2026-07,0.0,False
Elba Reyes,mejores restaurantes,tema,3,media,2,2026-05,2026-07,1.0,False
Elba Reyes,melissa núñez,entidad,2,baja,2,2026-07,2026-08,1.0,False
Elba Reyes,Miami,entidad,2,baja,2,2026-01,2026-05,0.0,False
Elba Reyes,mujeres más ricas,tema,2,baja,2,2026-01,2026-02,0.0,False
Elba Reyes,mundo para viajar,tema,2,baja,2,2026-01,2026-02,0.06583518969384695,False
Elba Reyes,Nacionales,entidad,2,baja,2,2026-02,2026-07,1.0,False
Elba Reyes,Oscar,entidad,2,baja,2,2026-01,2026-03,0.0,False
Elba Reyes,pasaporte electrónico,tema,2,baja,2,2026-01,2026-07,0.3385997375592636,False
Elba Reyes,Tim Burton,entidad,2,baja,2,2026-02,2026-07,0.23614081643218118,False
Elba Reyes,películas más esperadas,tema,2,baja,2,2026-01,2026-06,0.014428588555479247,False
Elba Reyes,podrá ver,tema,2,baja,2,2026-05,2026-08,0.33780827102409267,False
Elba Reyes,precio estimado,tema,3,media,2,2026-07,2026-08,0.0,False
Elba Reyes,primer dominicano,tema,2,baja,2,2026-05,2026-07,0.608288083889548,False
Elba Reyes,primeros artistas,tema,3,media,2,2026-06,2026-08,0.0,False
Elba Reyes,ranking global,tema,3,media,2,2026-03,2026-07,0.5150143228889574,False
Elba Reyes,ranking mundial,tema,2,baja,2,2026-03,2026-07,0.0,False
Elba Reyes,ranking países,tema,2,baja,2,2026-04,2026-07,0.22643968538221768,False
Elba Reyes,récord histórico,tema,2,baja,2,2026-05,2026-07,1.0,False
Elba Reyes,dominicana lidera,tema,2,baja,2,2026-03,2026-07,0.0,False
Elba Reyes,dominicana lluvias,tema,2,baja,2,2026-03,2026-04,0.0,False
Elba Reyes,Leidsa,entidad,4,media,2,2026-07,2026-08,0.18949374687077283,False
Elba Reyes,Shakira,entidad,4,media,2,2026-05,2026-07,0.16202134449209948,False
Elba Reyes,Supergirl,entidad,3,media,2,2026-06,2026-07,0.864944423620623,False
Elba Reyes,tarjeta de crédito,tema,2,baja,2,2026-03,2026-07,0.9813033092517667,False
Elba Reyes,Venezuela,entidad,7,media,2,2026-03,2026-07,0.00775031022058621,False
Elba Reyes,Tierra,entidad,2,baja,2,2026-04,2026-07,1.0,False
Elba Reyes,Toy Story,entidad,2,baja,2,2026-06,2026-07,0.1156554860229259,False
Elba Reyes,trofeo más famoso,tema,2,baja,2,2026-06,2026-07,0.07512954134729098,False
Elba Reyes,US,entidad,4,media,2,2026-02,2026-03,0.0,False
Elba Reyes,valiosas del mundo,tema,4,media,2,2026-02,2026-07,0.5878773331806568,False
Elba Reyes,viajar sin visa,tema,4,media,2,2026-04,2026-07,0.2009863058978968,False
Elba Reyes,visa desde república,tema,2,baja,2,2026-04,2026-07,0.0,False
Elba Reyes,YouTube,entidad,3,media,2,2026-02,2026-07,0.0,False
Elba Reyes,Android,entidad,2,baja,1,2026-07,2026-07,0.0,False
Elba Reyes,antes de salir,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,Argentina,entidad,3,media,1,2026-07,2026-07,1.0,False
Elba Reyes,asume la presidencia,tema,2,baja,1,2026-02,2026-02,0.0,False
Elba Reyes,Avengers Doomsday,entidad,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,avos de final,tema,3,media,1,2026-07,2026-07,0.17569478854007461,False
Elba Reyes,Bad Bunny,entidad,4,media,1,2026-02,2026-02,0.013209377777818034,False
Elba Reyes,cabello y depilarte,tema,2,baja,1,2026-04,2026-04,0.0,False
Elba Reyes,calidad de vida,tema,3,media,1,2026-07,2026-07,1.0,False
Elba Reyes,chatear con alguien,tema,2,baja,1,2026-07,2026-07,0.0,False
Elba Reyes,ciudades más peligrosas,tema,2,baja,1,2026-07,2026-07,0.09133852144152577,False
Elba Reyes,Clásico Mundial de Béisbol República Dominicana,entidad,17,alta,1,2026-03,2026-03,0.0,False
Elba Reyes,clausura del mundial,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,clima en república,tema,2,baja,1,2026-04,2026-04,0.0,False
Elba Reyes,clima hoy en santo,tema,4,media,1,2026-04,2026-04,0.0,False
Elba Reyes,conciertos en república,tema,2,baja,1,2026-07,2026-07,0.0,False
Elba Reyes,confirmados de los octavos,tema,2,baja,1,2026-07,2026-07,1.0,False
Elba Reyes,mundial conoce,tema,3,media,1,2026-07,2026-07,1.0,False
Elba Reyes,fechas confirmadas,tema,2,baja,1,2026-07,2026-07,1.0,False
